comp_level,match_number,red,blue,timestamp
qm,124,"frc540,frc5985,frc3045","frc5736,frc86,frc973",1745016865
qm,125,"frc3970,frc1241,frc781","frc195,frc8177,frc3197",1745017346
sf,1,"frc4907,frc6324,frc9496","frc1506,frc33,frc9245",1745074474
sf,1,"frc2767,frc2877,frc1768","frc2200,frc3339,frc1153",1745075197
sf,1,"frc195,frc33,frc9245","frc3197,frc7632,frc1241",1745075904
sf,1,"frc2200,frc3339,frc1153","frc3197,frc7632,frc1241",1745077433
sf,1,"frc2767,frc2877,frc1768","frc2075,frc973,frc2522",1745069541
sf,1,"frc9450,frc6621,frc2539","frc195,frc33,frc9245",1745070172
sf,1,"frc2200,frc3339,frc1153","frc3197,frc7632,frc1241",1745070737
sf,1,"frc3045,frc4728,frc3970","frc4907,frc6324,frc9496",1745071200
sf,1,"frc2075,frc973,frc2522","frc1506,frc33,frc9245",1745071687
sf,1,"frc3197,frc7632,frc1241","frc3045,frc4728,frc3970",1745072380
sf,1,"frc2767,frc2877,frc1768","frc9450,frc6621,frc2539",1745072855
sf,1,"frc2200,frc3339,frc1153","frc4907,frc6324,frc9496",1745073345
sf,1,"frc9450,frc6621,frc2539","frc3197,frc7632,frc1241",1745073968
