team_number,nickname,name,city,state_prov,country
2443,Blue Thunder,Maui Economic and Development Board (MEDB)/Friends of Hawaii Robotics/Boeing Company/Battelle Memorial Institute/Hawaiian Electric Company/Hawaii Space Grant Consortium/McDonalds of Hawaii/Maui High School Foundation/Maui High School Learning Center&Maui High School,Kahului,Hawaii,USA
2486,CocoNuts,State of Arizona Department of Education/The NARBHA Institute/Boeing/FIRST Employee Mentor/Coach Team Registration Assistance Discount/Katalyst Space Technologies/BAE Systems/City of Flagstaff/GKC Geosciences LLC/Optimum/Navajo Transitional Energy Company/Embry Riddle Aeronautical University - Prescott Campus/Dine' College - Tsalie Campus/WL Gore & Associates/Microchip/Arizona Tax Credit Donors/Flagstaff Family Food Center/Wildflower Bread Company/Raising Cane's Chicken Fingers/ChickFilA/Copper State Bolt & Nut&Coconino High School,Flagstaff,Arizona,USA
2710,JetStream,The Pellicciarini Family/Raytheon/Boeing/The Westerland Family&Family/Community,Palos Verdes Peninsula,California,USA
2853,Hot Spot Robotics,DoD STEM/RTX-Raytheon/PHNSY & IMF/MHS Science Learning Center&Mililani High School,Mililani,Hawaii,USA
3009,High Scalers,Gene Haas Foundation/Nevada Department of Education/Draney Family Foundation/Alan Bowman&Boulder City High School,Boulder City,Nevada,USA
3020,SMbld,fabworks/Truffles Clothing & Santa Margarita Catholic High School & Santa Margarita Cath High Sch,Rancho Santa Margarita,California,USA
3309,Friarbots,The Boeing Company/McLaren/Google/Ganahl Lumber/The Stump Family/Serra Laser/Drawer Box Specialties/Reborn Cabinets/VXB Bearings/First American Title/Will-Mann/Vision Miner/SoCal Devs/Reliable Sheet Metal&Servite High School,Anaheim,California,USA
3473,Team Sprocket,"Team Sprocket/Dedicated to Learning, Inc./The Boeing Company/Raytheon/ECS Water Jet Cutting/JLMC Inc. Custom Metal Fabrication & Diamond Bar High School",Diamond Bar,California,USA
3476,Code Orange,"Code Orange Robotics, Inc./Applied Medical/Lasergraphics/Gene Haas Foundation/Niagara Cares/Edward Lifesciences/Boeing/Western Digital/Parker Meggitt /Taco Bell/Qualcomm&Neighborhood Group",Irvine,California,USA
3501,Firebots,Google/Apple/FHS Alumnus Family Foundation/Gene Haas Foundation/PG&E and the Dream Maker Fund/Intuitive Surgical/TE Connectivity/Qualcomm/Igenex/Argosy Foundation/Turbine&Fremont High School,Sunnyvale,California,USA
3859,Wolfpack Robotics,Enstall Empowers/Gene Haas Foundation/Moss Adams/ServiceNow/Argosy Foundation/University of the Pacific/SAP&Cosumnes Oaks High School,Elk Grove,California,USA
4079,Quantum Leap,NASA / NASA-JPL / Boeing / Disneyland & Oxford Academy,Cypress,California,USA
4141,Monarch Robotics,Boeing&Mater Dei High School,Santa Ana,California,USA
4276,Surf City Vikings,Huntington Beach CTE/BOEING/Gene Haas Foundation/SAFRAN Cabin/HPA Inc.&Marina High School,Huntington Beach,California,USA
4415,EPIC Robotz,Boeing/Raytheon/Gene Haas Foundation/West Coast Sand and Gravel/Walt Disney Imagineering/Trim-Loc/Stellar Solutions/Gentoo Property Management/Fidelity Hearing/The Aardema Family/Emergent Battery Technology&Valley Christian High School,Cerritos,California,USA
4738,Patribots,"DoD STEM/Caterpillar/Qualcomm/Natural Networks, Inc./Solar Turbines/RDI Family/Gene Haas Foundation/Patrick Henry High School Foundation/Brain Corp/General Atomic Education Foundation/Wood Rogers/CCTE of San Diego Unified/The Royal Family&Patrick Henry High School",San Diego,California,USA
4999,Momentum,Long Beach Unified School District/Gold Bond Gypsum Board/SpaceX/Boeing/RTX/Port of Long Beach/Good Times Billiards/Shared Science&Sato Academy of Math and Science&Family/Community,Long Beach,California,USA
5199,Robot Dolphins From Outer Space,CCA/Salesforce/General Atomics/Schneider Electric/Boeing/Northrop Grumman/Dolphin Foundation/Haas Foundation/Western Digital/Qualcomm/CIRO Design/Industrial Metal Supply Co.&CCA - Capo Unified School District,Dana Point,California,USA
5285,Sea Kings Robotics,Boeing / Google / Peninsula Education Foundation / Palos Verdes High School Booster Club / All Access Inc & Palos Verdes High School,Palos Verdes Estates,California,USA
5669,Techmen,Don Bosco Tech Institute,Rosemead,California,USA
5805,SMbly Required,fabworks/Truffles Clothing & Santa Margarita Cath High Sch,Rancho Santa Margarita,California,USA
5835,Sage Hill Robotics,&Sage Hill School,Newport Coast,California,USA
6695,GalvaKnights,Hunter Industries/Haas/The Jensen Family/Qualcomm/BAE Systems/Water On Scene/Relentless Software Solutions&San Marcos High School,San Marcos,California,USA
6904,TeraWatts,David Starr Jordan High School & Animo College Prep Acad,Los Angeles,California,USA
6995,NOMAD,Caterpillar/The Hsu Family/Friends of NOMAD/Gene Haas/Qualcomm/Intuitive/Solar Turbines/PTC/Orange County Robotics Alliance OCRA/Shoebox Educational Services/Escondido Rotary Club&Family/Community,Escondido,California,USA
7042,Poly Rabbotics,The Boeing Company/Frontier Technologies/Long Beach Unified School District/Primo Powder Coating&Polytechnic High School,Long Beach,California,USA
7157,μBotics,Boeing/MR Mold/Raytheon/Western Digital/Haas&Brea-Olinda High School,Brea,California,USA
7415,Jaguar Robotics Sponsored By Feit Electric,Feit Electric/DFF/Sain Smart/Gene Haas Foundation/Aerojet Rocketdyne Foundation/Polymaker/ESH Security/iFixit/SolidWorks&de Toledo High School,West Hills,California,USA
7447,Rōnin Robotics,Irvine Unified School District/UC Irvine/HMF Corporation/EPG Lawyers/Industrial Metal Supply/Exact Industries/Simply Orthodontics&Portola High School,Irvine,California,USA
8,Paly Robotics,Apple/Bayer Fund/Intuitive Foundation/Costco/Microsoft&Palo Alto High School,Palo Alto,California,USA
8033,Highlander Robotics,Piedmont Makers/Apple/Lawrence Livermore National Laboratories/The Loom/Anatomic Iron/Leon's Powder Coating/Tanius Technologies/West Coast Products/Onshape/Gene Haas/In Memory of Bill Schultz/Tactical Computing Laboratories/Intuitive Surgical/Making Fun/AptarGroup/Edward Jones Co/FIRST/PG&E/Mr Plastic/Bay Metals/Ashby Lumber&Family/Community,Piedmont,California,USA
840,Aragon Robotics Team,Friends and Family of Aragon Robotics/Gene Haas Foundation/Aragon High School PTSO/San Mateo Union High School District/Intuitive Surgical/Qualcomm/PGE / DreamMakers Fund/FutureBytes/FIRST NorCal/Architectural Glass and Aluminum/Shaper Tools/KiwiCo/FabWorks/CAM.EDU&Aragon High School,San Mateo,California,USA
8521,CyberLions,WOW Law Group/BAE Systems/Gene Haas Foundation/Huntington Beach Unified School District&Westminster High School,Westminster,California,USA
867,Absolute Value,NASA JPL & Arcadia High,Arcadia,California,USA
8871,Saber Dynamics,JCHS STEAM Academy/Booz Allen Hamilton/Gene Haas Foundation/AFCEA Hawaii/Pacxa/Surveyors Supply Company/City Mill/Bayer (Monsanto)&James Campbell High School,Ewa Beach,Hawaii,USA
9408,Warren Warbots,Mary R. Stauffer Foundation/Downey Unified School District/Boeing/NASA/RTX - Raytheon Technology&Warren High School,Downey,California,USA
973,Greybots,Family/Community,Atascadero,California,USA
10157,Roman Robotics,Roman Catholic High School,Philadelphia,Pennsylvania,USA
