Pre Match.match_num,Pre Match.teamNum,Pre Match.allianceColor,Auton.autonCoral L4,Auton.autonCoral L3,Auton.autonCoral L2,Auton.autonCoral L1,Auton.autonCoralMissed,Auton.autonProc,Auton.autonNet,Match.matchCoral L4,Match.matchCoral L3,Match.matchCoral L2,Match.matchCoral L1,Match.MatchCoralMissed,Match.matchProc,Match.matchNet
8,8595,blueAlliance,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,8595,blueAlliance,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8,4145,redAlliance,1,0,0,0,1,0,0,1,5,1,1,1,0,0
8,1153,redAlliance,0,2,0,0,0,0,3,1,3,1,0,0,2,3
9,7632,redAlliance,3,0,0,0,0,0,0,3,4,5,0,1,0,1
9,2877,redAlliance,3,0,0,0,0,0,0,3,0,2,4,1,0,1
9,2383,blueAlliance,1,0,0,0,0,0,0,0,2,0,5,1,1,0
9,3928,blueAlliance,1,0,0,0,0,0,0,3,1,2,0,1,0,0
9,467,blueAlliance,2,1,0,0,0,0,0,5,4,3,0,2,0,0
9,1902,redAlliance,0,0,0,0,0,0,0,0,6,4,2,3,2,0
10,3814,redAlliance,0,0,0,0,0,0,0,2,0,0,4,1,0,0
10,2491,redAlliance,2,0,0,0,1,0,0,1,2,0,0,2,0,0
10,5193,blueAlliance,0,0,2,0,0,0,0,0,0,0,4,1,0,0
10,1506,redAlliance,3,0,0,0,0,0,0,2,4,2,0,1,0,0
10,9245,blueAlliance,0,2,2,0,0,0,0,0,8,4,0,1,0,0
10,9635,blueAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,2960,blueAlliance,0,0,0,0,1,0,0,2,1,0,0,2,0,4
11,5736,redAlliance,0,0,0,0,1,0,1,0,3,5,0,2,0,2
11,5817,redAlliance,0,0,0,0,1,0,1,3,2,0,2,1,1,3
11,3130,blueAlliance,1,0,0,0,1,0,0,3,7,4,0,1,0,0
11,888,redAlliance,2,0,0,0,1,0,0,1,3,2,1,4,0,0
11,195,blueAlliance,3,0,0,0,0,0,0,3,3,7,0,0,0,0
12,10479,redAlliance,1,0,0,0,1,0,0,6,2,6,0,2,0,0
12,70,redAlliance,1,0,0,0,0,0,0,1,2,0,0,0,0,1
12,3197,blueAlliance,0,0,0,0,1,0,2,1,2,0,0,0,3,0
12,33,blueAlliance,0,0,0,1,0,0,0,5,2,0,0,3,0,1
12,4009,blueAlliance,0,0,0,0,1,0,0,1,2,3,0,7,0,0
12,9545,redAlliance,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,86,blueAlliance,2,0,0,0,0,0,0,3,1,0,1,3,0,0
13,2522,redAlliance,3,0,0,0,0,0,0,2,5,2,0,0,0,0
13,2706,blueAlliance,1,0,0,0,0,0,0,6,3,0,0,0,0,0
13,1038,redAlliance,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,6652,redAlliance,0,0,0,0,0,0,0,0,0,2,0,1,0,0
13,10157,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4728,redAlliance,2,0,0,0,0,0,0,2,5,4,2,1,0,2
14,6647,blueAlliance,0,0,0,0,0,0,0,1,3,4,0,0,0,1
14,2767,redAlliance,3,0,0,0,0,0,0,3,3,3,0,0,1,4
14,3882,redAlliance,1,0,0,0,0,0,0,2,2,0,1,1,0,0
14,5987,blueAlliance,2,0,0,0,0,0,0,4,5,3,0,1,0,1
14,2080,blueAlliance,0,0,0,0,0,0,0,2,1,1,0,2,0,0
15,3339,blueAlliance,2,0,0,0,0,0,0,5,7,8,0,0,0,3
15,230,blueAlliance,3,0,0,0,0,0,0,2,3,3,0,0,1,1
15,2783,redAlliance,2,0,0,0,0,0,0,4,3,5,0,0,0,0
15,51,redAlliance,1,0,0,0,0,0,0,0,2,2,1,0,0,1
15,7902,blueAlliance,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,4907,redAlliance,3,0,0,0,0,0,0,2,5,2,0,0,0,3
16,10224,redAlliance,0,0,0,0,0,0,0,2,2,2,0,1,1,0
16,6873,redAlliance,0,0,0,0,0,0,0,0,3,5,0,1,0,0
16,1241,blueAlliance,2,0,0,0,0,0,0,3,4,4,3,1,1,1
16,2075,blueAlliance,0,0,0,0,1,0,2,0,2,2,0,1,0,1
16,540,redAlliance,0,0,0,0,0,0,0,0,2,2,0,4,0,0
16,1768,blueAlliance,3,0,0,0,0,0,0,3,3,5,1,4,0,1
17,6324,redAlliance,1,0,0,0,0,0,2,3,5,3,1,2,0,1
17,9450,blueAlliance,2,1,0,0,0,0,1,6,1,2,0,0,0,3
17,2877,redAlliance,1,0,0,0,0,0,0,2,2,3,2,3,1,1
17,973,redAlliance,3,0,0,0,0,0,0,1,3,1,0,1,3,0
17,3473,blueAlliance,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,5181,blueAlliance,2,0,0,0,0,0,0,4,4,0,3,0,0,2
18,8177,blueAlliance,1,0,0,0,0,0,0,4,3,1,0,1,0,0
18,1902,redAlliance,0,0,1,0,0,0,0,0,7,5,2,0,0,0
18,3814,redAlliance,0,0,0,0,0,0,0,4,0,0,0,0,0,0
18,7421,redAlliance,1,0,0,0,2,0,0,4,3,0,0,4,0,2
18,8570,blueAlliance,0,0,0,0,0,0,0,0,3,1,1,0,0,0
18,3656,blueAlliance,2,0,0,0,0,0,0,3,4,0,1,2,0,2
19,5817,redAlliance,0,0,0,0,3,0,0,7,2,0,0,1,0,5
19,8595,redAlliance,0,1,0,0,0,0,0,0,0,0,0,0,2,0
